Major,Male,Female,Neutral
"Earth Systems, Env, & Society ",1,0,0
"Earth, Society, & Environment ",9,9,0
"Earth, Society, & Environment ",1,1,0
"Earth, Society, & Environment ",10,7,0
"Earth, Soc, Env Sustainability ",19,7,0
"Earth, Soc, Env Sustainability ",3,2,0
"Earth, Soc, Env Sustainability ",1,1,0
"Earth, Soc, Env Sustainability ",4,4,0
"Earth, Soc, Env Sustainability ",1,2,0
E Asian Languages & Cultures ,0,1,0
Plant Biology ,2,1,0
Integrative Biology ,10,13,0
Integrative Biology ,1,1,0
Biology ,2,2,0
Biology ,7,5,0
Biology ,0,2,0
Biology ,1,1,0
Biology ,3,6,0
Economics ,80,73,0
Chemistry ,1,1,0
Chemistry ,4,5,0
Molecular and Cellular Biology ,18,28,0
Molecular and Cellular Biology ,3,4,0
History ,0,1,0
History ,31,31,0
Religious Studies ,1,0,0
Religion ,2,1,0
Religion ,1,0,0
English ,16,56,0
English ,0,2,0
Rhetoric ,0,1,0
Rhetoric ,28,42,0
Rhetoric ,3,7,0
English ,0,1,0
Classics ,1,0,0
Classics ,1,3,0
Classics ,1,2,0
Classics ,0,1,0
Interdisciplinary ,0,1,0
Physics ,7,1,0
Statistics ,2,2,0
Statistics ,5,6,0
Spanish ,1,3,0
Geology ,0,1,0
Geology ,3,0,0
Geology ,2,0,0
Geology ,1,1,0
Chemical Engineering ,5,5,0
Political Science ,3,7,0
Comparative Literature ,1,1,0
Geography ,1,0,0
Geography ,0,1,0
Geography ,4,1,0
Germanic Lang & Lit ,1,1,0
Germanic Lang & Lit ,1,1,0
Germanic Lang & Lit ,1,1,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,0,1,0
French ,1,3,0
French ,0,1,0
French ,3,4,0
Health ,2,9,0
Health ,14,28,0
Health ,6,33,0
Community Health ,28,142,0
Community Health ,74,189,0
Community Health ,29,68,0
Kinesiology ,14,8,0
Speech & Hearing Science ,0,7,0
Speech & Hearing Science ,1,16,0
Speech & Hearing Science ,6,251,0
"Recreation, Sport, and Tourism ",10,24,0
"Recreation, Sport, and Tourism ",9,21,0
"Recreation, Sport, and Tourism ",23,11,0
"Recreation, Sport, and Tourism ",114,30,0
VMS - Veterinary Pathobiology ,0,1,0
VMS - Pathobiology ,0,1,0
Veterinary Medicine ,1,0,0
VMS - Comparative Biosciences ,1,0,0
Social Work ,1,23,0
Social Work ,11,56,0
Social Work ,5,40,0
Social Work ,4,19,0
Social Work ,8,32,0
Bioinformatics ,2,0,0
Bioenergy ,7,3,0
Agricultural Production ,2,4,0
Agric Leadership & Sci Educ ,9,16,0
Agric Leadership & Sci Educ ,15,18,0
Agr & Consumer Economics ,47,34,0
Agr & Consumer Economics ,1,1,0
Agr & Consumer Economics ,21,2,0
Agr & Consumer Economics ,109,42,0
Agr & Consumer Economics ,92,29,0
Agr & Consumer Economics ,22,11,0
Agr & Consumer Economics ,26,20,0
Agr & Consumer Economics ,28,35,0
Agr & Consumer Economics ,0,1,0
Agr & Consumer Economics ,60,31,0
Agr & Consumer Economics ,54,22,0
Animal Sciences ,1,0,0
Animal Sciences ,0,1,0
Animal Sciences ,12,15,0
Animal Sciences ,9,63,0
Animal Sciences ,70,367,0
Food Science & Human Nutrition ,43,96,0
Food Science & Human Nutrition ,3,4,0
Food Science & Human Nutrition ,17,103,0
Food Science & Human Nutrition ,4,84,0
Food Science & Human Nutrition ,28,43,0
Food Science & Human Nutrition ,7,21,0
Food Science & Human Nutrition ,0,10,0
Food Science & Human Nutrition ,5,13,0
Food Science & Human Nutrition ,11,14,0
Food Science & Human Nutrition ,2,8,0
Technical Systems Management ,4,0,0
Agr & Environmental Cmc & Educ ,2,9,0
Human Development & Family St ,14,153,0
Human Development & Family St ,8,52,0
Human & Community Development ,4,8,0
Crop Sciences ,3,4,0
Crop Sciences ,19,5,0
Crop Sciences ,35,10,0
Crop Sciences ,36,19,0
Crop Sciences ,5,1,0
Crop Sciences ,1,1,0
Horticulture ,0,1,0
Horticulture ,2,4,0
Horticulture ,8,10,0
Bioinformatics ,1,3,0
Natural Resrcs & Environ Sci ,27,23,0
Natural Resrcs & Environ Sci ,12,4,0
Natural Resrcs & Environ Sci ,1,0,0
Natural Resrcs & Environ Sci ,0,1,0
Natural Resrcs & Environ Sci ,38,42,0
Natural Resrcs & Environ Sci ,40,31,0
Natural Resrcs & Environ Sci ,10,10,0
Business Administration (MBA) ,68,37,0
Business Administration (MBA) ,1,0,0
Management ,8,10,0
Management ,0,3,0
Management ,8,12,0
Management ,6,14,0
Management ,17,13,0
Management ,8,9,0
Business Administration (MBA) ,44,12,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,2,0
Early Childhood Education ,1,1,0
Early Childhood Education ,0,3,0
Early Childhood Education ,0,4,0
Early Childhood Education ,0,3,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,5,0
Elementary Education ,1,0,0
Elementary Education ,5,7,0
Elementary Education ,5,43,0
Elementary Education ,8,67,0
Elementary Education ,0,1,0
Elementary Education ,0,2,0
Elementary Education ,0,1,0
Elementary Education ,0,1,0
Elementary Education ,0,1,0
Elementary Education ,0,1,0
Elementary Education ,0,25,0
Elementary Education ,1,20,0
Elementary Education ,0,8,0
Elementary Education ,0,1,0
Secondary Education ,0,1,0
Secondary Education ,5,1,0
Secondary Education ,2,1,0
Secondary Education ,1,1,0
Ed Organization and Leadership ,1,0,0
Ed Organization and Leadership ,2,6,0
Ed Organization and Leadership ,4,3,0
Human Resource Education ,1,1,0
Ed Organization and Leadership ,6,24,0
Ed Organization and Leadership ,6,8,0
Human Resource Education ,1,15,0
Human Resource Education ,0,2,0
Ed Organization and Leadership ,0,1,0
Human Resource Education ,0,2,0
Ed Organization and Leadership ,3,5,0
Educational Policy Studies ,3,0,0
Human Resource Education ,11,12,0
Agricultural & Biological Engr ,14,2,0
Agricultural & Biological Engr ,7,3,0
Computer Science ,1,0,0
Computer Science ,11,1,0
Bioinformatics ,2,1,0
Materials Science & Engr ,6,1,0
Materials Science & Engr ,22,5,0
Materials Science & Engr ,17,1,0
Materials Science & Engr ,10,10,0
Materials Science & Engr ,19,7,0
Nuclear Engineering ,4,1,0
Nuclear Engineering ,1,0,0
"Nuclear, Plasma, Radiolgc Engr ",46,4,0
"Nuclear, Plasma, Radiolgc Engr ",23,3,0
"Nuclear, Plasma, Radiolgc Engr ",7,1,0
Music ,4,3,0
Music ,46,100,0
Music ,12,4,0
Music ,1,1,0
Music ,22,1,0
Music ,3,0,0
Music Education ,12,33,0
Music Education ,54,58,0
Music Education ,2,5,0
Music ,20,33,0
Music ,8,2,0
Music ,5,1,0
Music ,0,7,0
Music ,3,0,0
Music ,2,0,0
Music ,13,5,0
Crafts ,0,3,0
Crafts ,1,14,0
Art and Design ,2,2,0
Art and Design ,3,7,0
Art and Design ,0,7,0
Art and Design ,3,4,0
Art and Design ,2,2,0
Art and Design ,0,6,0
Architecture ,84,46,0
Architecture ,24,12,0
Theatre ,2,4,0
Theatre ,6,12,0
Theatre ,15,20,0
Theatre ,0,3,0
Theatre ,1,0,0
Theatre ,2,2,0
Theatre ,3,1,0
Theatre ,0,3,0
Theatre ,15,22,0
Theatre ,6,3,0
Theatre ,21,14,0
Media and Cinema Studies ,20,18,0
Media and Cinema Studies ,17,25,1
Agricultural Communications ,5,9,0
Agricultural Communications ,0,1,0
Anthropology ,0,4,0
Mathematics ,2,0,0
Mathematics ,2,1,0
Mathematics ,9,6,0
Mathematics ,6,2,0
Mathematics ,6,0,0
Mathematics ,1,1,0
Mathematics ,15,23,0
Applied Mathematics ,12,12,0
Mathematics ,1,0,0
"Earth Systems, Env, & Society ",1,1,0
"Earth Systems, Env, & Society ",2,3,0
"Earth Systems, Env, & Society ",0,1,0
"Earth, Society, & Environment ",8,7,0
"Earth, Society, & Environment ",1,3,0
"Earth, Society, & Environment ",4,3,0
"Earth, Society, & Environment ",0,1,0
"Earth, Soc, Env Sustainability ",24,22,0
"Earth, Soc, Env Sustainability ",6,5,0
"Earth, Soc, Env Sustainability ",1,0,0
"Earth, Soc, Env Sustainability ",16,12,0
"Earth, Soc, Env Sustainability ",2,2,0
Plant Biology ,4,1,0
Integrative Biology ,8,20,0
Integrative Biology ,0,3,0
Biology ,5,2,0
Biology ,7,4,0
Biology ,0,1,0
Biology ,3,2,0
Economics ,81,76,0
Economics ,2,0,0
Chemistry ,1,0,0
Chemistry ,1,1,0
Chemistry ,5,4,0
Molecular and Cellular Biology ,20,29,0
Molecular and Cellular Biology ,5,3,0
History ,22,29,0
Religion ,1,0,0
Religion ,1,0,0
Religion ,1,0,0
English ,12,42,0
Rhetoric ,12,31,0
Rhetoric ,2,6,0
English ,0,1,0
English ,0,1,0
Classics ,1,0,0
Classics ,1,0,0
Classics ,1,1,0
Classics ,0,1,0
Interdisciplinary ,0,1,0
Physics ,6,2,0
Statistics ,4,4,0
Statistics ,4,4,0
Spanish ,2,6,0
Italian ,1,0,0
Geology ,4,2,0
Geology ,3,0,0
Geology ,3,2,0
Chemical Engineering ,2,6,0
Political Science ,3,4,0
Comparative Literature ,0,1,0
Geography & Geographic Info Sc ,1,0,0
Geography & Geographic Info Sc ,5,0,0
Germanic Lang & Lit ,1,0,0
Germanic Lang & Lit ,1,0,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,0,2,0
Germanic Lang & Lit ,1,0,0
French ,0,1,0
French ,0,3,0
French ,0,1,0
French ,1,0,0
French ,0,1,0
Health ,4,16,0
Health ,26,48,0
Health ,11,36,0
Community Health ,23,134,0
Community Health ,83,184,0
Community Health ,32,79,0
Kinesiology ,14,10,0
Speech & Hearing Science ,0,2,0
Speech & Hearing Science ,2,13,0
Speech & Hearing Science ,5,228,0
"Recreation, Sport, and Tourism ",10,20,0
"Recreation, Sport, and Tourism ",10,24,0
"Recreation, Sport, and Tourism ",3,1,0
"Recreation, Sport, and Tourism ",121,42,0
Health ,0,1,0
VMS - Pathobiology ,0,1,0
Veterinary Medicine ,0,1,0
VMS - Comparative Biosciences ,1,0,0
Social Work ,2,34,0
Social Work ,16,80,0
Social Work ,3,40,0
Social Work ,1,17,0
Social Work ,3,28,0
Bioinformatics ,0,2,0
Bioenergy ,14,2,0
Agricultural Production ,2,5,0
Agric Leadership & Sci Educ ,9,17,0
Agric Leadership & Sci Educ ,13,16,0
Agr & Consumer Economics ,39,25,0
Agr & Consumer Economics ,0,1,0
Agr & Consumer Economics ,19,3,0
Agr & Consumer Economics ,120,48,0
Agr & Consumer Economics ,88,28,0
Agr & Consumer Economics ,22,16,0
Agr & Consumer Economics ,33,26,0
Agr & Consumer Economics ,23,30,0
Agr & Consumer Economics ,0,1,0
Agr & Consumer Economics ,60,30,0
Agr & Consumer Economics ,53,19,0
Animal Sciences ,0,1,0
Animal Sciences ,11,22,0
Animal Sciences ,8,66,0
Animal Sciences ,69,352,0
Bioinformatics ,0,1,0
Food Science & Human Nutrition ,49,102,0
Food Science & Human Nutrition ,1,2,0
Food Science & Human Nutrition ,20,78,0
Food Science & Human Nutrition ,5,84,0
Food Science & Human Nutrition ,23,48,0
Food Science & Human Nutrition ,7,18,0
Food Science & Human Nutrition ,3,6,0
Food Science & Human Nutrition ,4,15,0
Food Science & Human Nutrition ,13,20,0
Food Science & Human Nutrition ,5,6,0
Technical Systems Management ,4,3,0
Agr & Environmental Cmc & Educ ,0,3,0
Human Development & Family St ,11,136,0
Human Development & Family St ,3,37,0
Human & Community Development ,1,0,0
Human & Community Development ,5,18,0
Crop Sciences ,2,3,0
Crop Sciences ,19,8,0
Crop Sciences ,42,15,0
Crop Sciences ,31,25,0
Crop Sciences ,1,1,0
Crop Sciences ,2,2,0
Horticulture ,0,1,0
Horticulture ,4,3,0
Horticulture ,4,19,0
Bioinformatics ,2,0,0
Natural Resrcs & Environ Sci ,30,23,0
Natural Resrcs & Environ Sci ,3,2,0
Natural Resrcs & Environ Sci ,35,43,0
Natural Resrcs & Environ Sci ,37,36,0
Natural Resrcs & Environ Sci ,9,13,0
Business Administration (MBA) ,70,28,0
Management ,12,11,0
Management ,0,3,0
Management ,4,11,0
Management ,7,13,0
Management ,19,11,0
Management ,3,9,0
Business Administration (MBA) ,39,18,0
Early Childhood Education ,0,7,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,3,0
Early Childhood Education ,0,3,0
Early Childhood Education ,0,4,0
Early Childhood Education ,0,3,0
Elementary Education ,0,1,0
Elementary Education ,0,1,0
Elementary Education ,2,6,0
Elementary Education ,3,42,0
Elementary Education ,10,73,0
Elementary Education ,0,1,0
Elementary Education ,0,3,0
Elementary Education ,0,2,0
Elementary Education ,0,1,0
Elementary Education ,0,21,0
Elementary Education ,0,20,0
Elementary Education ,0,21,0
Elementary Education ,0,1,0
Secondary Education ,1,1,0
Secondary Education ,2,0,0
Secondary Education ,3,2,0
Secondary Education ,0,1,0
Curriculum and Instruction ,0,1,0
Educational Psychology ,0,1,0
Educational Psychology ,0,4,0
Ed Organization and Leadership ,2,2,0
Ed Organization and Leadership ,3,1,0
Ed Organization and Leadership ,8,24,0
Ed Organization and Leadership ,4,9,0
Human Resource Education ,2,11,0
Ed Organization and Leadership ,0,1,0
Ed Organization and Leadership ,2,11,0
Educational Policy Studies ,1,1,0
Human Resource Education ,10,15,0
Agricultural & Biological Engr ,19,4,0
Agricultural & Biological Engr ,21,7,0
Engineering ,3,1,0
Computer Science ,1,0,0
Computer Science ,1,0,0
Computer Science ,8,1,0
Bioinformatics ,1,2,0
Materials Science & Engr ,5,3,0
Materials Science & Engr ,18,4,0
Materials Science & Engr ,13,1,0
Materials Science & Engr ,9,4,0
Materials Science & Engr ,11,9,0
Materials Science & Engr ,2,0,0
"Nuclear, Plasma, Radiolgc Engr ",35,5,0
"Nuclear, Plasma, Radiolgc Engr ",18,2,0
"Nuclear, Plasma, Radiolgc Engr ",6,3,0
Music ,6,5,0
Music ,44,103,0
Music ,12,3,0
Music ,2,2,0
Music ,24,2,0
Music ,2,0,0
Music Education ,11,33,0
Music Education ,53,52,0
Music Education ,2,9,0
Music ,1,0,0
Music ,23,31,0
Music ,7,2,0
Music ,7,1,0
Music ,1,6,0
Music ,3,0,0
Music ,2,0,0
Music ,1,1,0
Music ,9,3,0
Crafts ,0,2,0
Crafts ,0,14,0
Art and Design ,2,1,0
Art and Design ,1,7,0
Art and Design ,1,5,0
Art and Design ,4,5,0
Art and Design ,1,1,0
Art and Design ,1,5,0
Architecture ,71,44,0
Architecture ,18,12,0
Theatre ,1,2,0
Theatre ,4,12,0
Theatre ,13,16,0
Theatre ,0,1,0
Theatre ,2,0,0
Theatre ,3,0,0
Theatre ,1,2,0
Theatre ,22,25,0
Theatre ,6,2,0
Theatre ,22,17,0
Media and Cinema Studies ,23,17,0
Media and Cinema Studies ,16,25,0
Agricultural Communications ,7,16,0
Agricultural Communications ,1,5,0
Agricultural Communications ,0,3,0
Anthropology ,0,4,0
Mathematics ,0,1,0
Mathematics ,6,0,0
Mathematics ,4,2,0
Mathematics ,19,6,0
Mathematics ,6,2,0
Mathematics ,2,1,0
Mathematics ,15,16,0
Mathematics ,1,0,0
Applied Mathematics ,12,13,0
"Earth Systems, Env, & Society ",1,0,0
"Earth, Society, & Environment ",2,3,0
"Earth, Society, & Environment ",0,1,0
"Earth, Soc, Env Sustainability ",20,17,0
"Earth, Soc, Env Sustainability ",8,8,0
"Earth, Soc, Env Sustainability ",2,5,0
"Earth, Soc, Env Sustainability ",10,9,0
"Earth, Soc, Env Sustainability ",1,1,0
"Earth, Soc, Env Sustainability ",0,2,0
E Asian Languages & Cultures ,0,2,0
Plant Biology ,4,1,0
Plant Biotechnology ,2,1,0
Integrative Biology ,9,24,0
Integrative Biology ,0,4,0
Biology ,2,2,0
Biology ,8,5,0
Biology ,0,1,0
Biology ,3,3,0
Chemistry ,4,5,0
Molecular and Cellular Biology ,17,26,0
Molecular and Cellular Biology ,3,2,0
History ,19,22,0
History ,1,0,0
English ,13,47,0
English ,0,1,0
Rhetoric ,8,16,0
Rhetoric ,2,5,0
English ,0,1,0
English ,0,4,0
English ,0,1,0
Classics ,1,0,0
Classics ,1,0,0
Interdisciplinary ,0,1,0
Interdisciplinary ,0,1,0
Physics ,2,0,0
Statistics ,0,3,0
Statistics ,10,16,0
Spanish ,1,6,0
Spanish ,0,6,0
Spanish ,1,0,0
Spanish ,1,0,0
Geology ,2,1,0
Geology ,1,2,0
Geology ,2,2,0
Geology ,3,3,0
Comparative Literature ,0,1,0
Linguistics ,1,0,0
Geography ,0,1,0
Geography ,1,0,0
Geography & Geographic Info Sc ,2,0,0
Geography & Geographic Info Sc ,9,1,0
Geography & Geographic Info Sc ,1,0,0
Germanic Lang & Lit ,2,1,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,1,0,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,1,0,0
French ,1,3,0
French ,0,1,0
French ,1,3,0
French ,0,1,0
French ,1,1,0
Italian ,1,0,0
Health ,0,5,0
Health ,6,7,0
Health ,2,1,0
Interdisciplinary Health Sci ,8,28,0
Interdisciplinary Health Sci ,19,63,0
Interdisciplinary Health Sci ,9,40,0
Community Health ,18,124,0
Community Health ,78,216,0
Community Health ,30,64,0
Kinesiology ,7,10,0
Speech & Hearing Science ,1,18,0
Speech & Hearing Science ,2,188,0
Speech & Hearing Science ,0,1,0
"Recreation, Sport, and Tourism ",10,26,0
"Recreation, Sport, and Tourism ",8,15,0
"Recreation, Sport, and Tourism ",139,38,0
VMS - Pathobiology ,0,1,0
VMS - Comparative Biosciences ,1,0,0
Social Work ,5,39,0
Social Work ,9,75,0
Social Work ,2,34,0
Social Work ,0,1,0
Social Work ,3,12,0
Social Work ,2,26,0
Bioinformatics ,0,2,0
Bioenergy ,12,7,0
Agricultural Production ,2,6,0
Agric Leadership & Sci Educ ,8,16,0
Agric Leadership & Sci Educ ,13,18,0
Agr & Consumer Economics ,36,29,0
Agr & Consumer Economics ,22,3,0
Agr & Consumer Economics ,127,47,0
Agr & Consumer Economics ,74,24,0
Agr & Consumer Economics ,10,14,0
Agr & Consumer Economics ,28,25,0
Agr & Consumer Economics ,31,32,0
Agr & Consumer Economics ,65,29,0
Agr & Consumer Economics ,52,21,0
Animal Sciences ,0,1,0
Animal Sciences ,0,1,0
Animal Sciences ,12,30,0
Animal Sciences ,8,62,0
Animal Sciences ,63,346,0
Agriculture ,1,0,0
Bioinformatics ,0,1,0
Food Science & Human Nutrition ,42,107,0
Food Science & Human Nutrition ,19,88,0
Food Science & Human Nutrition ,3,77,0
Food Science & Human Nutrition ,19,37,0
Food Science & Human Nutrition ,11,15,0
Food Science & Human Nutrition ,1,8,0
Food Science & Human Nutrition ,4,12,0
Food Science & Human Nutrition ,15,22,0
Food Science & Human Nutrition ,5,6,0
Technical Systems Management ,5,4,0
Human Development & Family St ,17,133,0
Human Development & Family St ,7,41,0
Human & Community Development ,1,0,0
Human & Community Development ,4,24,0
Crop Sciences ,4,1,0
Crop Sciences ,28,11,0
Crop Sciences ,35,17,0
Crop Sciences ,28,25,0
Crop Sciences ,1,3,0
Crop Sciences ,3,2,0
Horticulture ,1,4,0
Horticulture ,5,14,0
Bioinformatics ,1,0,0
Natural Resrcs & Environ Sci ,34,18,0
Natural Resrcs & Environ Sci ,1,3,0
Natural Resrcs & Environ Sci ,33,40,0
Natural Resrcs & Environ Sci ,42,32,0
Natural Resrcs & Environ Sci ,14,18,0
Business Administration (MBA) ,71,33,0
Business Administration (MBA) ,1,0,0
Accountancy ,1,1,0
Accountancy ,0,1,0
Accountancy ,3,2,0
Management ,9,10,0
Management ,1,2,0
Management ,2,12,0
Management ,3,16,0
Management ,18,15,0
Management ,5,7,0
Business Administration ,2,2,0
Technology Management ,1,0,0
Business Administration (MBA) ,19,10,0
Learning and Education Studies ,2,3,0
Learning and Education Studies ,1,4,0
Learning and Education Studies ,1,6,0
Learning and Education Studies ,0,1,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,6,0
Early Childhood Education ,0,2,0
Early Childhood Education ,0,5,0
Early Childhood Education ,0,11,0
Early Childhood Education ,0,3,0
Early Childhood Education ,0,6,0
Elementary Education ,0,1,0
Elementary Education ,0,2,0
Elementary Education ,1,5,0
Elementary Education ,2,48,0
Elementary Education ,11,63,0
Elementary Education ,0,1,0
Elementary Education ,0,4,0
Elementary Education ,0,2,0
Elementary Education ,0,1,0
Elementary Education ,1,0,0
Elementary Education ,1,20,0
Elementary Education ,0,13,0
Elementary Education ,1,28,0
Elementary Education ,0,2,0
Secondary Education ,2,1,0
Secondary Education ,3,1,0
Secondary Education ,6,6,0
Secondary Education ,1,1,0
Educational Psychology ,0,3,0
Ed Organization and Leadership ,0,1,0
Ed Organization and Leadership ,3,1,0
Human Resource Education ,1,0,0
"Educ Policy, Orgzn & Leadrshp ",2,0,0
"Educ Policy, Orgzn & Leadrshp ",1,0,0
Ed Organization and Leadership ,4,9,0
Ed Organization and Leadership ,2,9,0
Educational Policy Studies ,0,1,0
Human Resource Education ,3,2,0
Human Resource Education ,0,1,0
"Educ Policy, Orgzn & Leadrshp ",5,13,0
"Educ Policy, Orgzn & Leadrshp ",7,15,0
"Educ Policy, Orgzn & Leadrshp ",4,9,0
"Educ Policy, Orgzn & Leadrshp ",0,1,0
"Educ Policy, Orgzn & Leadrshp ",0,2,0
"Educ Policy, Orgzn & Leadrshp ",0,1,0
Ed Organization and Leadership ,0,1,0
Ed Organization and Leadership ,2,9,0
Ed Organization and Leadership ,1,2,0
Educational Policy Studies ,1,0,0
Educational Policy Studies ,0,1,0
Human Resource Education ,7,13,0
"Educ Policy, Orgzn & Leadrshp ",4,6,0
"Educ Policy, Orgzn & Leadrshp ",1,3,0
"Educ Policy, Orgzn & Leadrshp ",0,2,0
"Educ Policy, Orgzn & Leadrshp ",0,4,0
Agricultural & Biological Engr ,14,3,0
Agricultural & Biological Engr ,11,4,0
Engineering ,14,6,0
Computer Science ,22,5,0
Computer Science ,23,3,0
Computer Science ,20,0,0
Computer Science ,11,2,0
Bioinformatics ,2,3,0
Mechanical Engineering ,3,1,0
Materials Science & Engr ,3,1,0
Materials Science & Engr ,18,6,0
Materials Science & Engr ,16,4,0
Materials Science & Engr ,5,4,0
Materials Science & Engr ,24,20,0
Materials Science & Engr ,2,0,0
"Nuclear, Plasma, Radiolgc Engr ",41,8,0
"Nuclear, Plasma, Radiolgc Engr ",14,1,0
"Nuclear, Plasma, Radiolgc Engr ",7,2,0
Music ,7,8,0
Music ,42,93,0
Music ,17,3,0
Music ,3,2,0
Music ,28,5,0
Music ,1,0,0
Music ,2,0,0
Music Education ,13,28,0
Music Education ,53,61,0
Music Education ,1,12,0
Music ,3,0,0
Music ,25,28,0
Music ,4,0,0
Music ,3,4,0
Music ,0,1,0
Music ,2,1,0
Music ,2,0,0
Music ,0,2,0
Music ,10,3,0
Crafts ,0,2,0
Crafts ,1,12,1
Art and Design ,1,5,0
Art and Design ,3,7,0
Art and Design ,1,5,0
Art and Design ,3,5,0
Art and Design ,1,0,0
Art and Design ,2,5,0
Architecture ,74,52,0
Architecture ,21,13,0
Theatre ,3,4,0
Theatre ,3,8,0
Theatre ,17,13,0
Theatre ,0,2,0
Theatre ,2,0,0
Theatre ,1,0,0
Theatre ,1,1,0
Theatre ,18,22,0
Theatre ,6,3,0
Theatre ,16,26,0
Media and Cinema Studies ,18,18,0
Media and Cinema Studies ,11,24,0
Journalism ,1,1,0
Agricultural Communications ,6,14,0
Agricultural Communications ,1,4,0
Agricultural Communications ,0,6,0
Anthropology ,2,1,0
Mathematics ,5,0,0
Mathematics ,2,1,0
Mathematics ,16,4,0
Mathematics ,9,8,0
Mathematics ,1,0,0
Mathematics ,15,23,0
Mathematics ,1,0,0
Applied Mathematics ,14,13,0
"Earth, Soc, Env Sustainability ",23,21,0
"Earth, Soc, Env Sustainability ",5,6,0
"Earth, Soc, Env Sustainability ",3,7,0
"Earth, Soc, Env Sustainability ",6,9,0
"Earth, Soc, Env Sustainability ",3,1,0
"Earth, Soc, Env Sustainability ",3,5,0
E Asian Languages & Cultures ,0,1,0
Plant Biotechnology ,2,1,0
Integrative Biology ,13,21,0
Integrative Biology ,1,7,0
Biology ,1,3,0
Biology ,5,3,0
Biology ,2,3,0
Biology ,1,0,0
Economics ,78,55,0
Chemistry ,2,1,0
Chemistry ,3,5,0
Molecular and Cellular Biology ,18,21,0
Molecular and Cellular Biology ,3,2,0
History ,19,21,0
History ,1,0,0
English ,10,45,0
English ,0,1,0
Rhetoric ,3,3,0
Rhetoric ,0,2,0
English ,0,3,0
English ,0,1,0
Classics ,1,0,0
Classics ,1,0,0
Classics ,1,0,0
Classics ,0,1,0
Classics ,0,1,0
Interdisciplinary ,0,1,0
Physics ,1,1,0
Statistics ,2,3,0
Statistics ,22,23,0
Spanish ,0,7,0
Spanish ,1,10,0
Spanish ,0,1,0
Geology ,3,0,0
Geology ,0,2,0
Geology ,2,2,0
Geology ,3,3,0
Chemical Engineering ,15,3,0
Comparative Literature ,0,2,0
Linguistics ,1,0,0
Geography & Geographic Info Sc ,2,0,0
Geography & Geographic Info Sc ,0,1,0
Geography & Geographic Info Sc ,8,4,0
Geography ,1,0,0
Germanic Lang & Lit ,1,2,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,1,0,0
Slavic Studies ,1,0,0
French ,2,1,0
French ,0,1,0
French ,1,2,0
French ,0,1,0
French ,0,1,0
French ,1,1,0
Italian ,1,0,0
Health ,1,2,0
Interdisciplinary Health Sci ,6,33,0
Interdisciplinary Health Sci ,16,63,0
Interdisciplinary Health Sci ,9,30,0
Community Health ,21,119,0
Community Health ,74,228,0
Community Health ,21,47,0
Kinesiology ,6,4,0
Speech & Hearing Science ,2,3,0
Speech & Hearing Science ,1,12,0
Speech & Hearing Science ,6,200,0
Speech & Hearing Science ,0,3,0
"Recreation, Sport, and Tourism ",10,20,0
"Recreation, Sport, and Tourism ",8,14,0
"Recreation, Sport, and Tourism ",127,31,0
VMS - Pathobiology ,0,1,0
Social Work ,5,29,0
Social Work ,10,79,0
Social Work ,4,42,0
Social Work ,3,15,0
Social Work ,3,26,0
Bioinformatics ,0,3,0
"Agribusiness, Farm & Financial ",39,32,0
"Agribusiness, Farm & Financial ",50,19,0
"Agribusiness, Farm & Financial ",40,2,1
"Agribusiness, Farm & Financial ",68,24,1
"Intl, Resource, Consumer Econ ",60,33,0
"Intl, Resource, Consumer Econ ",7,2,0
"Intl, Resource, Consumer Econ ",1,0,0
"Intl, Resource, Consumer Econ ",34,24,0
Animal Sciences ,0,1,0
Animal Sciences ,13,11,0
Animal Sciences ,17,84,0
Animal Sciences ,9,13,0
Animal Sciences ,80,258,0
Food Science & Human Nutrition ,16,30,0
Food Science & Human Nutrition ,13,24,0
Food Science & Human Nutrition ,16,62,0
Food Science & Human Nutrition ,1,91,0
Food Science & Human Nutrition ,34,58,0
Technical Systems Management ,6,0,0
Technical Systems Management ,1,0,0
Technical Systems Management ,53,6,0
Agr & Environmental Cmc & Educ ,12,42,0
Agr & Environmental Cmc & Educ ,3,5,0
Agr & Environmental Cmc & Educ ,4,5,0
Agr & Environmental Cmc & Educ ,15,21,0
Human Development & Family St ,4,131,0
Human Development & Family St ,4,52,0
Crop Sciences ,2,0,0
Crop Sciences ,13,2,0
Crop Sciences ,29,1,0
Crop Sciences ,15,13,1
Crop Sciences ,1,1,0
Forestry ,1,1,0
Forestry ,1,0,0
Natural Resrcs & Environ Sci ,10,9,0
Natural Resrcs & Environ Sci ,4,10,0
Natural Resrcs & Environ Sci ,1,4,0
Natural Resrcs & Environ Sci ,38,21,0
Natural Resrcs & Environ Sci ,16,1,0
