Term,Major,Concentration,Total,Male,Female,Neutral
120098,Early Childhood Education ,ECh: Mathematics ,10,0,10,0
120098,Early Childhood Education ,ECh: Psychology ,12,0,12,0
120098,Early Childhood Education ,ECh: Sociology ,1,0,1,0
120098,Early Childhood Education ,ECh: Spanish ,5,0,5,0
120098,Elementary Education ,EIEd: Biology ,2,0,2,0
120098,Elementary Education ,EIEd: Chemisty ,2,0,2,0
120098,Elementary Education ,EIEd: Geography ,3,0,3,0
120098,Elementary Education ,EIEd: History ,14,2,12,0
120098,Elementary Education ,EIEd: Language Arts ,57,3,54,0
120098,Elementary Education ,EIEd: Linguistics ,1,0,1,0
120098,Elementary Education ,EIEd: Mathematics ,85,2,83,0
120098,Elementary Education ,EIEd: Music ,2,1,1,0
120098,Elementary Education ,ElEd: Psychology ,33,2,31,0
120098,Elementary Education ,ElEd: Sociology ,10,0,10,0
120098,Elementary Education ,EIEd: Theatre ,1,0,1,0
120098,Elementary Education ,EIEd: French ,6,1,5,0
120098,Elementary Education ,EIEd: German ,1,0,1,0
120098,Elementary Education ,EIEd: Spanish ,37,0,37,0
120098,Elementary Education ,General Sciences ,5,1,4,0
120098,Elementary Education ,Elementary Ed - Cert ,11,3,8,0
120098,Secondary & Continuing Educ ,English Certification ,2,0,2,0
120098,Secondary Education ,English ,6,0,6,0
120098,Secondary Education ,Social Studies ,5,4,1,0
120098,Secondary Education ,Sciences ,2,2,0,0
120098,Secondary Education ,Mathematics ,5,2,3,0
120098,Ed Organization and Leadership ,Higher Education ,3,0,3,0
120098,Ed Organization and Leadership ,Educational Admin & Leadership ,2,1,1,0
120098,Ed Organization and Leadership ,Higher Education ,18,1,16,1
120098,Ed Organization and Leadership ,Educational Admin & Leadership ,9,4,5,0
120098,Ed Organization and Leadership ,Higher Education ,1,0,1,0
120098,Ed Organization and Leadership ,Educational Admin & Leadership ,1,1,0,0
120098,Ed Organization and Leadership ,Higher Education ,1,1,0,0
120098,Ed Organization and Leadership ,Educational Admin & Leadership ,1,1,0,0
120098,Human Resource Education ,Human Resource Development ,3,2,1,0
120098,Human Resource Education ,Human Resource Development ,33,14,19,0
120098,Human Resource Education ,Human Resource Development ,4,1,3,0
120098,Human Resource Education ,Human Resource Development ,27,18,9,0
120098,Agricultural Engineering ,Food & Bioprocess Engineering ,1,1,0,0
120098,Agricultural & Biological Engr ,Food & Bioprocess Engineering ,1,1,0,0
120098,Computer Science ,CS:BS/MS Program ,4,4,0,0
120098,Computer Science ,CS:BS/MS Program ,2,2,0,0
120098,Bioinformatics ,Computer Science ,4,2,2,0
120098,Mechanical Engineering ,BS/MS Mechanical Engineering ,2,2,0,0
120098,Mechanical Engineering ,BS/MS Mechanical Engineering ,20,20,0,0
120098,Materials Science & Engr ,Ceramics ,6,4,2,0
120098,Materials Science & Engr ,Electronic Materials ,7,6,1,0
120098,Materials Science & Engr ,Metals ,14,10,4,0
120098,Materials Science & Engr ,Biomaterials ,13,9,4,0
120098,Materials Science & Engr ,Polymer ,18,12,6,0
120098,Materials Science & Engr ,BS/MS Materials Science & Eng ,1,1,0,0
120098,Nuclear Engineering ,"Power, Safety, and the Environ ",33,31,2,0
120098,Nuclear Engineering ,Plasma and Fusion Sci and Engr ,10,10,0,0
120098,Nuclear Engineering ,"Radiol, Medical, & Instr Apps ",9,7,2,0
120098,"Nuclear, Plasma, Radiolgc Engr ","Power, Safety, and the Environ ",3,2,1,0
120098,"Nuclear, Plasma, Radiolgc Engr ",Plasma and Fusion Sci and Engr ,3,2,1,0
120098,"Nuclear, Plasma, Radiolgc Engr ","Radiol, Medical, & Instr Apps ",1,1,0,0
120098,Music ,Choral Music ,12,5,7,0
120098,Music ,Performance and Literature ,122,43,79,0
120098,Music ,Music Composition ,18,12,6,0
120098,Music ,Vocal Coaching & Accompanying ,7,3,4,0
120098,Music ,Jazz Performance ,23,21,2,0
120098,Music Education ,Choral Music ,57,19,38,0
120098,Music Education ,Instrumental Music ,154,81,73,0
120098,Music Education ,Elementary General Music ,3,1,2,0
120098,Music ,Performance and Literature ,37,18,19,0
120098,Music ,Music Composition ,1,1,0,0
120098,Music ,Musicology ,14,8,6,0
120098,Music ,Piano Pedagogy ,5,1,4,0
120098,Music ,Instrumental Conducting (Orch) ,2,2,0,0
120098,Music ,Vocal Coaching & Accompanying ,2,1,1,0
120098,Music ,Jazz Performance ,7,7,0,0
120098,Crafts ,Ceramics ,5,2,3,0
120098,Crafts ,Metals ,9,1,8,0
120098,Art and Design ,Graphic Design ,3,1,2,0
120098,Art and Design ,Industrial Design ,11,6,5,0
120098,Art and Design ,Metals ,8,2,6,0
120098,Art and Design ,Painting ,7,3,4,0
120098,Art and Design ,Photography ,6,2,4,0
120098,Art and Design ,Sculpture ,3,1,2,0
120098,Landscape Architecture ,Five-Year Program ,43,21,22,0
120098,Architecture ,Architecture - 2 Yr ,158,95,63,0
120098,Architecture ,Architecture Track 3 ,19,11,8,0
120098,Theatre ,Costume Design &Constrctn ,1,0,1,0
120098,Theatre ,Stage Management ,6,2,4,0
120098,Theatre ,Theatre Studies ,22,8,14,0
120098,Theatre ,Acting ,29,11,18,0
120098,Theatre ,Costume Design and Technology ,3,0,3,0
120098,Theatre ,Scenic Technology ,1,1,0,0
120098,Theatre ,Lighting Design ,7,6,1,0
120098,Theatre ,Sound Design and Technology ,2,2,0,0
120098,Theatre ,Scenic Design ,5,1,4,0
120098,Theatre ,Design and Technology ,35,13,22,0
120098,Theatre ,Acting ,9,6,3,0
120098,Theatre ,Theatre Foundations ,44,21,23,0
120098,Media and Cinema Studies ,Cinema Studies ,1,1,0,0
120098,Anthropology ,Socioculturl & Linguistic Anth ,8,1,7,0
120098,Anthropology ,Socioculturl & Linguistic Anth ,2,1,1,0
120098,Mathematics ,Operations Research ,2,1,1,0
120098,Mathematics ,Applied Mathematics ,3,2,1,0
120098,Mathematics ,Graduate Preparation ,4,4,0,0
120098,Mathematics ,Mathematics Teaching Option ,61,23,38,0
120098,Applied Mathematics ,Actuarial Science ,13,4,9,0
120098,"Earth Systems, Env, & Society ",Society and the Environment ,53,29,24,0
120098,"Earth Systems, Env, & Society ",Science of the Earth System ,41,20,21,0
120098,Integrative Biology ,Honors Integrative Biology ,32,11,21,0
120098,Integrative Biology ,Honors Integrative Biology ,1,1,0,0
120098,Biology ,Ecology & Evolutionary Biology ,1,1,0,0
120098,Biology ,"Ecology, Ethology, Evolution ",14,6,8,0
120098,Biology ,Ecology & Evolutionary Biology ,12,3,9,0
120098,Biology ,Physiol & Molec Plant Biology ,10,6,4,0
120098,Biology ,Biology Teacher Educ Option ,9,5,4,0
120098,Economics ,Policy Economics ,112,62,50,0
120098,Chemistry ,Chemistry Teaching Option ,16,11,5,0
120098,Molecular and Cellular Biology ,Honors ,81,35,46,0
120098,Molecular and Cellular Biology ,Honors ,3,2,1,0
120098,Astronomy ,Astrochemistry ,1,1,0,0
120098,History ,Teaching of Social Studies ,83,44,39,0
120098,History ,Teaching of Social Studies ,1,1,0,0
120098,Religious Studies ,Philosophy of Religion ,1,1,0,0
120098,Religious Studies ,Religion and Culture ,3,2,1,0
120098,Religion ,Christianity ,1,0,1,0
120098,Religion ,Religion in America ,1,0,1,0
120098,English ,English Teaching Option ,87,21,66,0
120098,English ,English Teaching Option ,1,1,0,0
120098,Rhetoric ,Creative Writing ,104,57,47,0
120098,Rhetoric ,Creative Writing ,8,2,6,0
120098,Classics ,Greek ,1,1,0,0
120098,Classics ,Latin ,7,5,2,0
120098,Classics ,Classical Civilization ,13,5,8,0
120098,Interdisciplinary ,Medieval Civilization ,2,2,0,0
120098,Interdisciplinary ,American Civilization ,1,0,1,0
120098,Interdisciplinary ,Cinema Studies ,20,14,6,0
120098,Interdisciplinary ,Cinema Studies ,2,0,2,0
120098,Interdisciplinary ,Gender and Women's Studies ,13,1,12,0
120098,Physics ,Physics Teaching Option ,7,6,1,0
120098,Statistics ,Applied ,2,1,1,0
120098,Statistics ,Analytics ,5,4,1,0
120098,Spanish ,Spanish Linguistics ,8,2,6,0
120098,Geology ,Geophysics ,3,3,0,0
120098,Geology ,Environmental Geology ,3,1,2,0
120098,Geology ,Teaching of Earth Science ,2,1,1,0
120098,Geology ,Earth & Environmental Sciences ,9,4,5,0
120098,Chemical Engineering ,Biomolecular Engineering ,17,14,3,0
120098,Political Science ,Civic Leadership ,8,2,6,0
120098,Comparative Literature ,World Literature ,10,5,4,1
120098,Comparative Literature ,World Literature ,1,0,1,0
120098,Linguistics ,Hebrew Language & Linguistics ,8,5,3,0
120098,Geography ,Environmental Geography ,1,1,0,0
120098,Geography ,Human Geography ,1,1,0,0
120098,Germanic Lang & Lit ,German and Commercial Studies ,9,5,4,0
120098,Germanic Lang & Lit ,Language and Literature ,4,0,4,0
120098,Germanic Lang & Lit ,Language and Literature ,1,1,0,0
120098,Germanic Lang & Lit ,Language Studies ,1,0,1,0
120098,Germanic Lang & Lit ,Modern German Studies ,3,0,3,0
120098,Germanic Lang & Lit ,Scandinavian Studies ,2,1,1,0
120098,French ,French Commercial Studies ,9,2,7,0
120098,French ,French Commercial Studies ,1,0,1,0
120098,French ,French Studies ,14,3,11,0
120098,Community Health ,Health Education ,123,16,107,0
120098,Community Health ,Health Planning & Admin ,233,52,180,1
120098,Community Health ,Rehab & Disability Studies ,68,9,59,0
120098,Kinesiology ,Athletic Training ,8,3,5,0
120098,Kinesiology ,Teacher Education K-12 ,51,35,15,1
120098,Speech & Hearing Science ,Human Communication Science ,3,0,3,0
120098,Speech & Hearing Science ,Audiology ,11,1,10,0
120098,Speech & Hearing Science ,Speech-Language Pathology ,188,9,179,0
120098,Leisure Studies ,Sports Management ,1,1,0,0
120098,"Recreation, Sport, and Tourism ",Recreation Management ,56,28,28,0
120098,"Recreation, Sport, and Tourism ",Tourism Management ,39,15,24,0
120098,"Recreation, Sport, and Tourism ",Sports Management ,161,131,29,1
120098,Veterinary Medicine ,Vet Biosciences Res Scholars ,3,0,3,0
120098,Veterinary Medicine ,Vet Pathobiology Res Scholars ,2,0,2,0
120098,VMS - Veterinary Biosciences ,Vet Biosciences Res Scholars ,2,2,0,0
120098,Library & Information Science ,Library & Info Sci - Media ,1,0,1,0
120098,Bioinformatics ,Library & Information Science ,3,1,2,0
120108,Bioenergy ,Professional Science Masters ,12,10,2,0
120108,Agricultural Production ,Professional Science Masters ,7,3,4,0
120108,Agr & Consumer Economics ,Agri-Accounting ,70,35,35,0
120108,Agr & Consumer Economics ,Agri-Finance ,52,35,17,0
120108,Agr & Consumer Economics ,Farm Management ,29,27,2,0
120108,Agr & Consumer Economics ,Agribusiness Markets & Mgmt ,133,97,36,0
120108,Agr & Consumer Economics ,Consumer Economics & Finance ,80,57,23,0
120108,Agr & Consumer Economics ,Envirnmntal Economics & Policy ,29,22,7,0
120108,Agr & Consumer Economics ,"Policy, Intl Trade, & Dvlpmt ",39,24,15,0
120108,Agr & Consumer Economics ,Public Policy and Law ,46,22,24,0
120108,Agr & Consumer Economics ,Financial Planning ,54,37,17,0
120108,Animal Sciences ,Animal Business Mgt and Ind ,14,5,9,0
120108,Animal Sciences ,"Companion,Rec,Lab An Sci ",70,13,57,0
120108,Animal Sciences ,Food Animal Science ,18,6,12,0
120108,Animal Sciences ,"Science, Biotech & Pre-VetMed ",207,39,168,0
120108,Animal Sciences ,Technology and Management ,7,2,5,0
120108,Animal Sciences ,Companion Animal & Equine Sci ,44,6,38,0
120108,Animal Sciences ,"Science, Pre-Vet Med and Med ",130,26,103,1
120108,Bioinformatics ,Animal Science ,4,4,0,0
120108,Animal Sciences ,Animal Sciences ,1,0,1,0
120108,Food Science & Human Nutrition ,Food Science ,107,29,78,0
120108,Food Science & Human Nutrition ,Food Industry and Business ,26,12,14,0
120108,Food Science & Human Nutrition ,Human Nutrition ,111,16,95,0
120108,Food Science & Human Nutrition ,Dietetics ,65,1,64,0
120108,Food Science & Human Nutrition ,Hospitality Management ,63,16,47,0
120108,Food Science & Human Nutrition ,Food Science ,16,7,9,0
120108,Food Science & Human Nutrition ,Human Nutrition ,7,2,5,0
120108,Food Science & Human Nutrition ,Professional Science Masters ,5,3,2,0
120108,Food Science & Human Nutrition ,Food Science ,5,1,4,0
120108,Food Science & Human Nutrition ,Human Nutrition ,2,1,1,0
120108,Agr & Environmental Cmc & Educ ,Agricultural Leadership ,14,6,8,0
120108,Agr & Environmental Cmc & Educ ,Agricultural Education ,26,7,19,0
120108,Agr & Environmental Cmc & Educ ,"Agr, Cons, Env Sci Communictn ",50,13,37,0
120108,Human Development & Family St ,Child and Adolescent Dev ,149,11,137,1
120108,Human Development & Family St ,Family Studies ,64,9,54,1
120108,Human & Community Development ,Human Development & Family St ,8,3,5,0
120108,Crop Sciences ,Agroecology ,2,2,0,0
120108,Crop Sciences ,Crops ,25,18,7,0
120108,Crop Sciences ,Crop Agribusiness ,42,34,8,0
120108,Crop Sciences ,Plant Biotech & Molecular Bio ,25,13,12,0
120108,Crop Sciences ,Biological Sciences ,5,2,3,0
120108,Crop Sciences ,Integrated Pest Management ,1,0,1,0
120108,Horticulture ,Horticulture Science ,3,1,2,0
120108,Horticulture ,Horticulture Science ,1,1,0,0
120108,Horticulture ,Production and Management ,34,25,9,0
120108,Horticulture ,Production and Management ,5,2,3,0
120108,Bioinformatics ,Crop Science ,6,5,1,0
120108,Natural Resrcs & Environ Sci ,Fish and Wildlife Conservation ,21,14,7,0
120108,Natural Resrcs & Environ Sci ,Fish and Wildlife Conservation ,28,15,13,0
120108,Natural Resrcs & Environ Sci ,Forest Science ,7,6,1,0
120108,Natural Resrcs & Environ Sci ,Human Dimensions ,18,5,13,0
120108,Natural Resrcs & Environ Sci ,Resource Ecology ,18,12,6,0
120108,Natural Resrcs & Environ Sci ,Soil and Water Science ,10,6,4,0
120108,Natural Resrcs & Environ Sci ,Humn Dimnsns of the Environmnt ,30,16,14,0
120108,Natural Resrcs & Environ Sci ,Resrce Cons & Restoration Ecol ,42,19,23,0
120108,Natural Resrcs & Environ Sci ,Globl Chg & Landscape Dynamics ,13,9,4,0
120108,Business Administration (MBA) ,MBA ,45,31,14,0
120108,Accountancy ,Accountancy Postb ,10,6,4,0
120108,Business Administration ,Marketing ,4,2,2,0
120108,Business Administration ,Organizational Administration ,2,0,2,0
120108,Business Administration ,Entrepreneurship ,2,2,0,0
120108,Management ,Entrepreneurship ,27,20,7,0
120108,Management ,Entrepreneurship ,11,5,6,0
120108,Management ,International Business ,47,20,27,0
120108,Management ,International Business ,18,9,9,0
120108,Management ,General Management ,56,32,23,1
120108,Management ,General Management ,20,3,17,0
120108,Business Administration (MBA) ,Executive Program ,57,47,10,0
120108,Early Childhood Education ,ECh: Biology ,1,0,1,0
120108,Early Childhood Education ,ECh: Geography ,1,0,1,0
120108,Early Childhood Education ,ECh: History ,4,0,4,0
120108,Early Childhood Education ,ECh: Language arts ,8,0,8,0
120108,Early Childhood Education ,ECh: Mathematics ,11,0,11,0
120108,Early Childhood Education ,ECh: Psychology ,10,0,10,0
120108,Early Childhood Education ,ECh: Sociology ,2,0,2,0
120108,Early Childhood Education ,ECh: Spanish ,5,0,5,0
120108,Elementary Education ,EIEd: Anthropology ,1,0,1,0
120108,Elementary Education ,EIEd: Chemisty ,2,0,2,0
120108,Elementary Education ,EIEd: Earth Science ,1,0,1,0
120108,Elementary Education ,EIEd: Geography ,3,0,3,0
120108,Elementary Education ,EIEd: History ,15,4,11,0
120108,Elementary Education ,EIEd: Language Arts ,58,1,57,0
120108,Elementary Education ,EIEd: Linguistics ,1,0,1,0
120108,Elementary Education ,EIEd: Mathematics ,96,5,91,0
120108,Elementary Education ,EIEd: Music ,1,0,1,0
120108,Elementary Education ,EIEd: Philosophy ,1,0,0,1
120108,Elementary Education ,EIEd: Political Science ,1,0,1,0
120108,Elementary Education ,ElEd: Psychology ,21,1,20,0
120108,Elementary Education ,ElEd: Sociology ,11,0,11,0
120108,Elementary Education ,EIEd: Theatre ,1,0,1,0
120108,Elementary Education ,EIEd: French ,6,0,6,0
120108,Elementary Education ,EIEd: Spanish ,36,3,33,0
120108,Elementary Education ,General Sciences ,9,0,9,0
120108,Elementary Education ,ESL/Bilingual Education ,4,0,4,0
120108,Elementary Education ,Elementary Ed - Cert ,10,2,8,0
120108,Secondary Education ,English ,3,0,3,0
120108,Secondary Education ,Social Studies ,2,2,0,0
120108,Secondary Education ,Sciences ,2,2,0,0
120108,Secondary Education ,Mathematics ,5,2,3,0
120108,Ed Organization and Leadership ,Educational Admin & Leadership ,1,0,1,0
120108,Ed Organization and Leadership ,Higher Education ,1,1,0,0
120108,Ed Organization and Leadership ,Educational Admin & Leadership ,4,3,1,0
120108,Ed Organization and Leadership ,Higher Education ,30,4,26,0
120108,Ed Organization and Leadership ,Educational Admin & Leadership ,21,7,14,0
120108,Ed Organization and Leadership ,Higher Education ,3,2,1,0
120108,Ed Organization and Leadership ,Higher Education ,3,1,2,0
120108,Human Resource Education ,Human Resource Development ,3,2,1,0
120108,Human Resource Education ,Human Resource Development ,27,7,20,0
120108,Human Resource Education ,Human Resource Development ,7,3,4,0
120108,Human Resource Education ,Human Resource Development ,29,18,11,0
120108,Agricultural Engineering ,Food & Bioprocess Engineering ,1,1,0,0
120108,Computer Science ,CS:BS/MS Program ,3,2,1,0
120108,Computer Science ,CS:BS/MS Program ,7,6,1,0
120108,Bioinformatics ,Computer Science ,3,2,1,0
120108,Mechanical Engineering ,BS/MS Mechanical Engineering ,2,2,0,0
120108,Mechanical Engineering ,BS/MS Mechanical Engineering ,9,8,1,0
120108,Materials Science & Engr ,Ceramics ,5,3,2,0
120108,Materials Science & Engr ,Electronic Materials ,5,5,0,0
120108,Materials Science & Engr ,Metals ,8,6,2,0
120108,Materials Science & Engr ,Biomaterials ,14,10,4,0
120108,Materials Science & Engr ,Polymer ,9,5,4,0
120108,Materials Science & Engr ,BS/MS Materials Science & Eng ,1,0,1,0
120108,Nuclear Engineering ,"Power, Safety, and the Environ ",55,47,8,0
120108,Nuclear Engineering ,Plasma and Fusion Sci and Engr ,18,17,1,0
120108,Nuclear Engineering ,"Radiol, Medical, & Instr Apps ",8,5,3,0
120108,"Nuclear, Plasma, Radiolgc Engr ","Power, Safety, and the Environ ",3,2,1,0
120108,"Nuclear, Plasma, Radiolgc Engr ",Plasma and Fusion Sci and Engr ,2,1,1,0
120108,"Nuclear, Plasma, Radiolgc Engr ","Radiol, Medical, & Instr Apps ",1,1,0,0
120108,Music ,Choral Music ,11,4,7,0
120108,Music ,Performance and Literature ,128,47,81,0
120108,Music ,Music Composition ,19,15,4,0
120108,Music ,Vocal Coaching & Accompanying ,7,2,5,0
120108,Music ,Jazz Performance ,21,19,2,0
120108,Music Education ,Choral Music ,44,13,31,0
120108,Music Education ,Instrumental Music ,138,73,65,0
120108,Music Education ,Elementary General Music ,3,1,2,0
120108,Music ,Performance and Literature ,54,22,32,0
120108,Music ,Music Composition ,1,0,1,0
120108,Music ,Musicology ,10,7,3,0
120108,Music ,Piano Pedagogy ,8,2,6,0
120108,Music ,Instrumental Conducting (Band) ,2,1,1,0
120108,Music ,Instrumental Conducting (Orch) ,2,2,0,0
120108,Music ,Vocal Coaching & Accompanying ,3,1,2,0
120108,Music ,Jazz Performance ,14,13,1,0
120108,Crafts ,Ceramics ,4,1,3,0
120108,Crafts ,Metals ,10,0,10,0
120108,Art and Design ,Graphic Design ,2,2,0,0
120108,Art and Design ,Industrial Design ,11,6,5,0
120108,Art and Design ,Metals ,7,3,4,0
120108,Art and Design ,Painting ,8,3,5,0
120108,Art and Design ,Photography ,3,1,2,0
120108,Art and Design ,Sculpture ,3,1,2,0
120108,Landscape Architecture ,Five-Year Program ,54,25,29,0
120108,Architecture ,Architecture - 2 Yr ,143,81,62,0
120108,Architecture ,Architecture Track 3 ,30,14,16,0
120108,Theatre ,Costume Design &Constrctn ,1,0,1,0
120108,Theatre ,Stage Management ,9,2,7,0
120108,Theatre ,Theatre Studies ,17,3,14,0
120108,Theatre ,Acting ,17,7,10,0
120108,Theatre ,Costume Design and Technology ,5,0,5,0
120108,Theatre ,Scenic Technology ,2,2,0,0
120108,Theatre ,Lighting Design ,2,2,0,0
120108,Theatre ,Sound Design and Technology ,3,3,0,0
120108,Theatre ,Scenic Design ,4,0,4,0
120108,Theatre ,Design and Technology ,35,15,20,0
120108,Theatre ,Acting ,9,6,3,0
120108,Theatre ,Theatre Foundations ,53,22,30,1
120108,Media and Cinema Studies ,Cinema Studies ,16,15,1,0
120108,Media and Cinema Studies ,Media Studies ,22,4,18,0
120108,Anthropology ,Socioculturl & Linguistic Anth ,4,0,4,0
120108,Anthropology ,Socioculturl & Linguistic Anth ,1,1,0,0
120108,Mathematics ,Operations Research ,1,1,0,0
120108,Mathematics ,Applied Mathematics ,7,6,1,0
120108,Mathematics ,Graduate Preparation ,5,3,2,0
120108,Mathematics ,Mathematics Teaching Option ,66,32,34,0
120108,Mathematics ,Mathematics Teaching Option ,1,0,1,0
120108,Applied Mathematics ,Actuarial Science ,15,9,6,0
120108,"Earth Systems, Env, & Society ",Society and the Environment ,79,45,34,0
120108,"Earth Systems, Env, & Society ",Society and the Environment ,3,0,3,0
120108,"Earth Systems, Env, & Society ",Science of the Earth System ,53,29,24,0
120108,E Asian Languages & Cultures ,Teaching East Asian Languages ,2,0,2,0
120108,Integrative Biology ,Honors Integrative Biology ,33,12,21,0
120108,Integrative Biology ,Honors Integrative Biology ,3,1,2,0
120108,Biology ,"Ecology, Ethology, Evolution ",2,0,2,0
120108,Biology ,"Ecology, Ethology, Evolution ",15,6,9,0
120108,Biology ,Ecology & Evolutionary Biology ,8,2,6,0
120108,Biology ,Physiol & Molec Plant Biology ,7,4,3,0
120108,Biology ,Biology Teacher Educ Option ,8,3,5,0
120108,Economics ,Policy Economics ,148,88,60,0
120108,Chemistry ,Environmental Chemistry ,1,1,0,0
120108,Chemistry ,Chemistry Teaching Option ,16,11,5,0
120108,Molecular and Cellular Biology ,Honors ,73,37,36,0
120108,Molecular and Cellular Biology ,Honors ,10,6,4,0
120108,History ,Teaching of Social Studies ,82,44,38,0
120108,History ,Teaching of Social Studies ,1,1,0,0
120108,Religious Studies ,Christianity ,1,0,1,0
120108,Religious Studies ,Religion and Culture ,1,1,0,0
120108,Religious Studies ,Religion and Culture ,1,1,0,0
120108,Religion ,Christianity ,3,1,2,0
120108,Religion ,Religion and Culture ,1,1,0,0
120108,Religion ,Religion in America ,2,0,2,0
120108,English ,English Teaching Option ,84,22,62,0
120108,Rhetoric ,Creative Writing ,93,55,38,0
120108,Rhetoric ,Creative Writing ,9,3,6,0
120108,English ,Medieval Studies ,1,0,1,0
120108,Classics ,Greek ,2,2,0,0
120108,Classics ,Latin ,7,5,2,0
120108,Classics ,Classical Civilization ,1,1,0,0
120108,Classics ,Classical Civilization ,8,4,4,0
120108,Interdisciplinary ,Cinema Studies ,10,7,3,0
120108,Interdisciplinary ,Cinema Studies ,2,0,2,0
120108,Interdisciplinary ,Gender and Women's Studies ,1,0,1,0
120108,Physics ,Physics Teaching Option ,8,7,1,0
120108,Statistics ,Analytics ,9,4,5,0
120108,Spanish ,Spanish Linguistics ,8,2,6,0
120108,Geology ,Geophysics ,5,4,1,0
120108,Geology ,Environmental Geology ,1,1,0,0
120108,Geology ,Environmental Geology ,4,3,1,0
120108,Geology ,Teaching of Earth Science ,1,0,1,0
120108,Geology ,Earth & Environmental Sciences ,1,0,1,0
120108,Geology ,Earth & Environmental Sciences ,5,3,2,0
120108,Chemical Engineering ,Biomolecular Engineering ,11,8,3,0
120108,Bioinformatics ,Chemical and Biomolecular Eng ,1,1,0,0
120108,Political Science ,Civic Leadership ,9,5,4,0
120108,Comparative Literature ,World Literature ,8,3,4,1
120108,Comparative Literature ,World Literature ,1,0,1,0
120108,Linguistics ,Hebrew Language & Linguistics ,7,5,2,0
120108,Geography ,Environmental Geography ,1,1,0,0
120108,Geography ,Human Geography ,2,1,1,0
120108,Geography ,Physical Geography ,1,1,0,0
120108,Geography ,Geographic Information Science ,2,1,1,0
120108,Germanic Lang & Lit ,German and Commercial Studies ,1,1,0,0
120108,Germanic Lang & Lit ,Language and Literature ,2,1,1,0
120108,Germanic Lang & Lit ,Language and Literature ,2,0,2,0
120108,Germanic Lang & Lit ,Language Studies ,1,1,0,0
120108,Germanic Lang & Lit ,Language Studies ,1,1,0,0
120108,French ,French Commercial Studies ,1,0,1,0
120108,French ,French Commercial Studies ,7,3,4,0
120108,French ,French Studies ,20,6,14,0
120108,French ,French Studies ,1,0,1,0
120108,Community Health ,Health Education ,136,16,120,0
120108,Community Health ,Health Planning & Admin ,196,58,137,1
120108,Community Health ,Rehab & Disability Studies ,72,14,58,0
120108,Kinesiology ,Athletic Training ,1,0,1,0
120108,Kinesiology ,Teacher Education K-12 ,27,20,7,0
120108,Speech & Hearing Science ,Human Communication Science ,6,0,6,0
120108,Speech & Hearing Science ,Audiology ,11,2,9,0
120108,Speech & Hearing Science ,Speech-Language Pathology ,178,8,170,0
120108,"Recreation, Sport, and Tourism ",Recreation Management ,36,16,20,0
120108,"Recreation, Sport, and Tourism ",Tourism Management ,36,11,25,0
120108,"Recreation, Sport, and Tourism ",Sports Management ,145,121,23,1
120108,"Recreation, Sport, and Tourism ",Sport Management ,6,5,1,0
120108,Health ,Health and Aging ,6,1,5,0
120108,Health ,Health Behavior Change ,19,2,17,0
120108,Health ,Health Diversity ,8,1,7,0
120108,Veterinary Medicine ,Vet Biosciences Res Scholars ,2,0,2,0
120108,Veterinary Medicine ,Vet Pathobiology Res Scholars ,2,0,2,0
120108,VMS - Veterinary Biosciences ,Vet Biosciences Res Scholars ,3,2,1,0
120108,Social Work ,Health Care ,18,0,18,0
120108,Social Work ,Mental Health ,55,8,47,0
120108,Social Work ,School Social Work ,55,5,50,0
120108,Social Work ,"Advocacy, Ldrshp, Socl Change ",14,2,12,0
120108,Social Work ,"Children, Youth, Family Svcs ",32,2,30,0
120108,Library & Information Science ,Library & Info Sci - Media ,1,0,1,0
120108,Bioinformatics ,Library & Information Science ,2,1,1,0
120118,Bioenergy ,Professional Science Masters ,12,10,2,0
120118,Agricultural Production ,Professional Science Masters ,8,4,4,0
120118,Agr & Consumer Economics ,Agri-Accounting ,92,47,45,0
120118,Agr & Consumer Economics ,Agri-Finance ,76,63,13,0
120118,Agr & Consumer Economics ,Farm Management ,20,19,1,0
120118,Agr & Consumer Economics ,Agribusiness Markets & Mgmt ,129,96,33,0
120118,Agr & Consumer Economics ,Consumer Economics & Finance ,73,56,17,0
120118,Agr & Consumer Economics ,Envirnmntal Economics & Policy ,30,21,9,0
120118,Agr & Consumer Economics ,"Policy, Intl Trade, & Dvlpmt ",42,22,20,0
120118,Agr & Consumer Economics ,Public Policy and Law ,39,19,20,0
120118,Agr & Consumer Economics ,Financial Planning ,67,39,28,0
120118,Animal Sciences ,Animal Business Mgt and Ind ,3,1,2,0
120118,Animal Sciences ,"Companion,Rec,Lab An Sci ",36,6,30,0
120118,Animal Sciences ,Food Animal Science ,8,3,5,0
120118,Animal Sciences ,"Science, Biotech & Pre-VetMed ",101,12,89,0
120118,Animal Sciences ,Technology and Management ,10,4,6,0
120118,Animal Sciences ,Companion Animal & Equine Sci ,75,10,65,0
120118,Animal Sciences ,"Science, Pre-Vet Med and Med ",232,43,188,1
120118,Bioinformatics ,Animal Science ,4,4,0,0
120118,Food Science & Human Nutrition ,Food Science ,107,29,78,0
120118,Food Science & Human Nutrition ,Food Industry and Business ,31,13,18,0
120118,Food Science & Human Nutrition ,Human Nutrition ,119,20,99,0
120118,Food Science & Human Nutrition ,Dietetics ,87,2,85,0
120118,Food Science & Human Nutrition ,Hospitality Management ,70,21,49,0
120118,Food Science & Human Nutrition ,Food Science ,23,9,14,0
